condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,53,PersistentSelf,122.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,14,0,0.0
control,53,MirrorNeuroSymbolic,119.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,7,6,0.6485069757518398
control,54,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,54,MemoryOnly,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,54,PersistentSelf,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,54,MirrorNeuroSymbolic,27.75,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1,2,1,0.6748913688971448
control,55,NeuralOnly,98.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0.0
control,55,MemoryOnly,121.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,25,0,0.0
control,55,PersistentSelf,121.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,25,0,0.0
control,55,MirrorNeuroSymbolic,116.95,1.0,1.0,1.0,1.0,1.0,0.0,6.0,3,7,7,0.7077706583016657
control,56,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,56,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,56,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,56,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6586038132569182
control,57,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,57,MemoryOnly,123.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5,0,0.0
control,57,PersistentSelf,123.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5,0,0.0
control,57,MirrorNeuroSymbolic,121.25,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,5,5,0.6242457539296838
control,58,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,58,MemoryOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,58,PersistentSelf,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,58,MirrorNeuroSymbolic,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.6546870115732942
control,59,NeuralOnly,66.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
